,Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Return,SMA20,LowerBand,Signal,Decision,Strategy Return,Equity Curve,Buy,Sell,Trx Return,Sell Date,Sell Close,Win Loss
15959,2022-01-28,7973.58349609375,8675.0,8800.0,8575.0,8700.0,3084800,ICBP.JK,-0.002873563218390829,8737.5,8562.75,0,,,,False,False,,,,None
15960,2022-01-31,8019.5400390625,8725.0,8750.0,8575.0,8675.0,11996000,ICBP.JK,0.0057636887608070175,8742.5,8567.65,0,,0.0,1.0,False,False,,,,None
15961,2022-02-02,7973.58349609375,8675.0,8725.0,8600.0,8725.0,2102100,ICBP.JK,-0.005730659025787954,8737.5,8562.75,0,,-0.0,1.0,False,False,,,,None
15962,2022-02-03,7812.73291015625,8500.0,8600.0,8500.0,8600.0,4600200,ICBP.JK,-0.02017291066282423,8721.25,8546.825,1,Buy,-0.0,1.0,True,False,0.023529411764705577,2022-02-23,8700.0,Win
15963,2022-02-04,7927.62548828125,8625.0,8700.0,8475.0,8525.0,4939500,ICBP.JK,0.014705882352941124,8710.0,8535.8,1,Buy,0.014705882352941124,1.0147058823529411,False,False,,,,None
15964,2022-02-07,7950.6044921875,8650.0,8750.0,8600.0,8625.0,5159100,ICBP.JK,0.0028985507246377384,8698.75,8524.775,1,Buy,0.0028985507246377384,1.0176470588235293,False,False,,,,None
15965,2022-02-08,7927.62548828125,8625.0,8750.0,8600.0,8650.0,4900000,ICBP.JK,-0.0028901734104046506,8687.5,8513.75,1,Buy,-0.0028901734104046506,1.0147058823529411,False,False,,,,None
15966,2022-02-09,7973.58349609375,8675.0,8725.0,8625.0,8625.0,6006500,ICBP.JK,0.005797101449275255,8686.25,8512.525,1,Buy,0.005797101449275255,1.0205882352941176,False,False,,,,None
15967,2022-02-10,7927.62548828125,8625.0,8725.0,8625.0,8675.0,5007100,ICBP.JK,-0.0057636887608069065,8680.0,8506.4,1,Buy,-0.0057636887608069065,1.0147058823529411,False,False,,,,None
15968,2022-02-11,7950.6044921875,8650.0,8675.0,8550.0,8625.0,6545700,ICBP.JK,0.0028985507246377384,8673.75,8500.275,1,Buy,0.0028985507246377384,1.0176470588235293,False,False,,,,None
15969,2022-02-14,7858.68994140625,8550.0,8650.0,8525.0,8575.0,3905100,ICBP.JK,-0.011560693641618491,8663.75,8490.475,1,Buy,-0.011560693641618491,1.0058823529411764,False,False,,,,None
15970,2022-02-15,7858.68994140625,8550.0,8625.0,8350.0,8550.0,11049400,ICBP.JK,0.0,8652.5,8479.45,1,Buy,0.0,1.0058823529411764,False,False,,,,None
15971,2022-02-16,7812.73291015625,8500.0,8600.0,8475.0,8550.0,7178700,ICBP.JK,-0.005847953216374324,8638.75,8465.975,1,Buy,-0.005847953216374324,0.9999999999999999,False,False,,,,None
15972,2022-02-17,7835.7119140625,8525.0,8575.0,8500.0,8525.0,5767000,ICBP.JK,0.002941176470588225,8627.5,8454.95,1,Buy,0.002941176470588225,1.002941176470588,False,False,,,,None
15973,2022-02-18,7835.7119140625,8525.0,8650.0,8525.0,8525.0,9210400,ICBP.JK,0.0,8627.5,8454.95,1,Buy,0.0,1.002941176470588,False,False,,,,None
15974,2022-02-21,7812.73291015625,8500.0,8575.0,8500.0,8525.0,7714500,ICBP.JK,-0.0029325513196480912,8618.75,8446.375,1,Buy,-0.0029325513196480912,0.9999999999999998,False,False,,,,None
15975,2022-02-22,7835.7119140625,8525.0,8525.0,8400.0,8525.0,7311200,ICBP.JK,0.002941176470588225,8615.0,8442.7,1,Buy,0.002941176470588225,1.002941176470588,False,False,,,,None
15976,2022-02-23,7996.5625,8700.0,8725.0,8475.0,8525.0,7812000,ICBP.JK,0.02052785923753664,8612.5,8440.25,0,Sell,0.02052785923753664,1.0235294117647056,False,True,,,,None
15977,2022-02-24,7835.7119140625,8525.0,8700.0,8450.0,8675.0,10974000,ICBP.JK,-0.02011494252873558,8601.25,8429.225,0,Sell,-0.0,1.0235294117647056,False,False,,,,None
15978,2022-02-25,7812.73291015625,8500.0,8650.0,8475.0,8525.0,10382300,ICBP.JK,-0.0029325513196480912,8591.25,8419.425,0,Sell,-0.0,1.0235294117647056,False,False,,,,None
15979,2022-03-01,7582.94677734375,8250.0,8525.0,8150.0,8500.0,21470900,ICBP.JK,-0.02941176470588236,8570.0,8398.6,1,Buy,-0.0,1.0235294117647056,True,False,-0.04032085561497323,2022-03-02,7925.0,Loss
15980,2022-03-02,7284.224609375,7925.0,8225.0,7900.0,8100.0,28428600,ICBP.JK,-0.039393939393939426,8530.0,8359.4,0,Stop Loss,-0.039393939393939426,0.9832085561497323,False,True,,,,None
15981,2022-03-04,7192.31005859375,7825.0,7950.0,7750.0,7900.0,24282500,ICBP.JK,-0.012618296529968487,8487.5,8317.75,0,Stop Loss,-0.0,0.9832085561497323,False,False,,,,None
15982,2022-03-07,6801.67333984375,7400.0,7800.0,7375.0,7800.0,25237400,ICBP.JK,-0.054313099041533586,8432.5,8263.85,0,Stop Loss,-0.0,0.9832085561497323,False,False,,,,None
15983,2022-03-08,6985.5029296875,7600.0,7600.0,7400.0,7400.0,21825800,ICBP.JK,0.027027027027026973,8381.25,8213.625,0,Stop Loss,0.0,0.9832085561497323,False,False,,,,None
15984,2022-03-09,7008.48095703125,7625.0,7750.0,7550.0,7650.0,11438800,ICBP.JK,0.00328947368421062,8330.0,8163.4,0,Stop Loss,0.0,0.9832085561497323,False,False,,,,None
15985,2022-03-10,7123.3740234375,7750.0,7800.0,7650.0,7775.0,8712200,ICBP.JK,0.016393442622950838,8286.25,8120.525,0,Stop Loss,0.0,0.9832085561497323,False,False,,,,None
15986,2022-03-11,6939.544921875,7550.0,7775.0,7550.0,7750.0,8055000,ICBP.JK,-0.02580645161290318,8230.0,8065.4,0,Stop Loss,-0.0,0.9832085561497323,False,False,,,,None
15987,2022-03-14,6916.56591796875,7525.0,7600.0,7500.0,7575.0,6353200,ICBP.JK,-0.0033112582781457123,8175.0,8011.5,0,Stop Loss,-0.0,0.9832085561497323,False,False,,,,None
15988,2022-03-15,6824.65234375,7425.0,7600.0,7375.0,7525.0,15064300,ICBP.JK,-0.013289036544850474,8113.75,7951.474999999999,0,Stop Loss,-0.0,0.9832085561497323,False,False,,,,None
15989,2022-03-16,7008.48095703125,7625.0,7650.0,7425.0,7425.0,7742600,ICBP.JK,0.026936026936027035,8067.5,7906.15,0,Stop Loss,0.0,0.9832085561497323,False,False,,,,None
15990,2022-03-17,6962.52392578125,7575.0,7700.0,7475.0,7650.0,6832200,ICBP.JK,-0.006557377049180357,8018.75,7858.375,0,Stop Loss,-0.0,0.9832085561497323,False,False,,,,None
15991,2022-03-18,6962.52392578125,7575.0,7600.0,7450.0,7600.0,8157900,ICBP.JK,0.0,7972.5,7813.05,0,Stop Loss,0.0,0.9832085561497323,False,False,,,,None
15992,2022-03-21,6847.63037109375,7450.0,7600.0,7450.0,7600.0,4030800,ICBP.JK,-0.01650165016501648,7918.75,7760.375,0,Stop Loss,-0.0,0.9832085561497323,False,False,,,,None
15993,2022-03-22,6870.60986328125,7475.0,7600.0,7475.0,7475.0,4588300,ICBP.JK,0.003355704697986628,7866.25,7708.925,0,Stop Loss,0.0,0.9832085561497323,False,False,,,,None
15994,2022-03-23,6893.587890625,7500.0,7550.0,7475.0,7475.0,3310700,ICBP.JK,0.0033444816053511683,7816.25,7659.925,0,Stop Loss,0.0,0.9832085561497323,False,False,,,,None
15995,2022-03-24,6939.544921875,7550.0,7550.0,7500.0,7525.0,3315100,ICBP.JK,0.006666666666666599,7767.5,7612.15,0,Stop Loss,0.0,0.9832085561497323,False,False,,,,None
15996,2022-03-25,6663.8017578125,7250.0,7550.0,7200.0,7550.0,28613700,ICBP.JK,-0.039735099337748325,7695.0,7541.099999999999,0,Stop Loss,-0.0,0.9832085561497323,False,False,,,,None
15997,2022-03-28,6686.7802734375,7275.0,7400.0,7200.0,7250.0,13828500,ICBP.JK,0.0034482758620688614,7632.5,7479.849999999999,0,Stop Loss,0.0,0.9832085561497323,False,False,,,,None
15998,2022-03-29,6709.7587890625,7300.0,7400.0,7250.0,7300.0,9243600,ICBP.JK,0.0034364261168384758,7572.5,7421.05,0,Stop Loss,0.0,0.9832085561497323,False,False,,,,None
15999,2022-03-30,6778.69482421875,7375.0,7475.0,7325.0,7350.0,9768800,ICBP.JK,0.010273972602739656,7528.75,7378.175,0,Stop Loss,0.0,0.9832085561497323,False,False,,,,None
16000,2022-03-31,6755.7158203125,7350.0,7450.0,7300.0,7400.0,6875300,ICBP.JK,-0.003389830508474523,7500.0,7350.0,0,Stop Loss,-0.0,0.9832085561497323,False,False,,,,None
16001,2022-04-01,6916.56591796875,7525.0,7550.0,7350.0,7350.0,14229300,ICBP.JK,0.023809523809523725,7485.0,7335.3,0,Reset,0.0,0.9832085561497323,False,False,,,,None
16002,2022-04-04,6939.544921875,7550.0,7650.0,7550.0,7550.0,9542200,ICBP.JK,0.0033222591362125353,7492.5,7342.65,0,Reset,0.0,0.9832085561497323,False,False,,,,None
16003,2022-04-05,6962.52392578125,7575.0,7600.0,7500.0,7550.0,6290300,ICBP.JK,0.0033112582781456013,7491.25,7341.425,0,Reset,0.0,0.9832085561497323,False,False,,,,None
16004,2022-04-06,6801.67333984375,7400.0,7600.0,7325.0,7575.0,14545900,ICBP.JK,-0.02310231023102305,7480.0,7330.4,0,Reset,-0.0,0.9832085561497323,False,False,,,,None
16005,2022-04-07,6962.52392578125,7575.0,7600.0,7375.0,7400.0,11142300,ICBP.JK,0.023648648648648685,7471.25,7321.825,0,Reset,0.0,0.9832085561497323,False,False,,,,None
16006,2022-04-08,6847.63037109375,7450.0,7600.0,7425.0,7575.0,4565300,ICBP.JK,-0.01650165016501648,7466.25,7316.925,0,Reset,-0.0,0.9832085561497323,False,False,,,,None
