,Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Return,SMA20,MiddleBand,UpperBand,LowerBand,LowerBand_2,Signal,Decision,Strategy Return,Equity Curve,Buy,Sell,Trx Return,Sell Date,Sell Close,Win Loss
37808,2022-12-05,480.0,480.0,486.0,476.0,486.0,31054900,BELI.JK,-0.016393442622950838,479.9,,,,,0,,,,False,False,,,,None
37809,2022-12-06,480.0,480.0,488.0,470.0,488.0,42397100,BELI.JK,0.0,481.4,,,,,0,,0.0,1.0,False,False,,,,None
37810,2022-12-07,476.0,476.0,482.0,470.0,480.0,20976100,BELI.JK,-0.008333333333333304,482.4,,,,,0,,-0.0,1.0,False,False,,,,None
37811,2022-12-08,478.0,478.0,478.0,468.0,476.0,28412100,BELI.JK,0.004201680672268893,483.8,,,,,0,,0.0,1.0,False,False,,,,None
37812,2022-12-09,472.0,472.0,478.0,470.0,478.0,22219200,BELI.JK,-0.012552301255230103,483.2,,,,,0,,-0.0,1.0,False,False,,,,None
37813,2022-12-12,476.0,476.0,476.0,470.0,472.0,7837300,BELI.JK,0.008474576271186418,483.3,,,,,0,,0.0,1.0,False,False,,,,None
37814,2022-12-13,476.0,476.0,482.0,472.0,478.0,745664500,BELI.JK,0.0,483.5,,,,,0,,0.0,1.0,False,False,,,,None
37815,2022-12-14,470.0,470.0,478.0,468.0,476.0,87803000,BELI.JK,-0.012605042016806678,482.6,,,,,0,,-0.0,1.0,False,False,,,,None
37816,2022-12-15,466.0,466.0,476.0,466.0,474.0,71472600,BELI.JK,-0.008510638297872353,480.9,,,,,0,,-0.0,1.0,False,False,,,,None
37817,2022-12-16,466.0,466.0,470.0,466.0,466.0,116541900,BELI.JK,0.0,479.4,,,,,0,,0.0,1.0,False,False,,,,None
37818,2022-12-19,468.0,468.0,470.0,466.0,468.0,13483400,BELI.JK,0.0042918454935623185,478.5,,,,,0,,0.0,1.0,False,False,,,,None
37819,2022-12-20,468.0,468.0,470.0,466.0,468.0,15714900,BELI.JK,0.0,477.9,,,,,0,,0.0,1.0,False,False,,,,None
37820,2022-12-21,466.0,466.0,468.0,466.0,466.0,29083800,BELI.JK,-0.004273504273504258,476.8,,,,,0,,-0.0,1.0,False,False,,,,None
37821,2022-12-22,470.0,470.0,470.0,466.0,466.0,20241900,BELI.JK,0.008583690987124415,475.7,,,,,0,,0.0,1.0,False,False,,,,None
37822,2022-12-23,468.0,468.0,470.0,466.0,468.0,8473200,BELI.JK,-0.004255319148936176,474.6,,,,,0,,-0.0,1.0,False,False,,,,None
37823,2022-12-26,468.0,468.0,470.0,466.0,470.0,4315300,BELI.JK,0.0,474.3,,,,,0,,0.0,1.0,False,False,,,,None
37824,2022-12-27,468.0,468.0,470.0,466.0,468.0,87102200,BELI.JK,0.0,473.8,,,,,0,,0.0,1.0,False,False,,,,None
37825,2022-12-28,468.0,468.0,470.0,466.0,468.0,12521200,BELI.JK,0.0,473.0,,,,,0,,0.0,1.0,False,False,,,,None
37826,2022-12-29,472.0,472.0,480.0,466.0,468.0,28907200,BELI.JK,0.008547008547008517,472.2,,,,,0,,0.0,1.0,False,False,,,,None
37827,2022-12-30,470.0,470.0,472.0,468.0,472.0,4738800,BELI.JK,-0.004237288135593209,471.3,471.3,480.68307546933084,461.9169245306692,457.22538679600376,0,,-0.0,1.0,False,False,,,,None
37828,2023-01-02,470.0,470.0,476.0,466.0,470.0,12826800,BELI.JK,0.0,470.8,470.8,479.25047491658245,462.3495250834176,458.1242876251263,0,,0.0,1.0,False,False,,,,None
37829,2023-01-03,468.0,468.0,472.0,466.0,470.0,21265600,BELI.JK,-0.004255319148936176,470.2,470.2,477.5298237215825,462.8701762784175,459.20526441762627,0,,-0.0,1.0,False,False,,,,None
37830,2023-01-04,466.0,466.0,470.0,466.0,468.0,20874800,BELI.JK,-0.004273504273504258,469.7,469.7,476.7217706568852,462.67822934311477,459.1673440146722,0,,-0.0,1.0,False,False,,,,None
37831,2023-01-05,458.0,458.0,470.0,458.0,470.0,508468800,BELI.JK,-0.01716738197424894,468.7,468.7,476.4078224107583,460.9921775892417,457.1382663838625,1,,-0.0,1.0,True,False,0.017467248908296762,2023-01-24,466.0,Win
37832,2023-01-06,460.0,460.0,462.0,456.0,458.0,84965700,BELI.JK,0.004366812227074135,468.1,468.1,476.557945501436,459.64205449856405,455.41308174784604,1,,0.004366812227074135,1.0043668122270741,False,False,,,,None
37833,2023-01-09,458.0,458.0,460.0,456.0,460.0,30333000,BELI.JK,-0.004347826086956497,467.2,467.2,475.9443214656561,458.45567853434386,454.0835178015158,1,,-0.004347826086956497,0.9999999999999999,False,False,,,,None
37834,2023-01-10,456.0,456.0,458.0,456.0,458.0,14216100,BELI.JK,-0.004366812227074246,466.2,466.2,475.2751250535096,457.12487494649037,452.58731241973555,1,,-0.004366812227074246,0.9956331877729256,False,False,,,,None
37835,2023-01-11,458.0,458.0,460.0,456.0,456.0,7540600,BELI.JK,0.004385964912280604,465.6,465.6,475.1894679068673,456.0105320931327,451.2157981396991,1,,0.004385964912280604,0.9999999999999998,False,False,,,,None
37836,2023-01-12,456.0,456.0,458.0,456.0,458.0,5150600,BELI.JK,-0.004366812227074246,465.1,465.1,475.60112775898483,454.5988722410152,449.34830836152275,1,,-0.004366812227074246,0.9956331877729255,False,False,,,,None
37837,2023-01-13,456.0,456.0,460.0,456.0,458.0,16324400,BELI.JK,0.0,464.6,464.6,475.8465199295743,453.35348007042575,447.73022010563864,1,,0.0,0.9956331877729255,False,False,,,,None
37838,2023-01-16,456.0,456.0,460.0,456.0,456.0,3644500,BELI.JK,0.0,464.0,464.0,475.75181956796007,452.24818043203993,446.3722706480599,1,,0.0,0.9956331877729255,False,False,,,,None
37839,2023-01-17,456.0,456.0,464.0,456.0,456.0,17640300,BELI.JK,0.0,463.4,463.4,475.51176027017124,451.2882397298287,445.23235959474306,1,,0.0,0.9956331877729255,False,False,,,,None
37840,2023-01-18,460.0,460.0,460.0,456.0,460.0,2094500,BELI.JK,0.00877192982456143,463.1,463.1,475.23780522950784,450.9621947704922,444.8932921557383,1,,0.00877192982456143,1.0043668122270741,False,False,,,,None
37841,2023-01-19,460.0,460.0,460.0,456.0,458.0,1052600,BELI.JK,0.0,462.6,462.6,474.3589831282522,450.84101687174785,444.96152530762174,1,,0.0,1.0043668122270741,False,False,,,,None
37842,2023-01-20,462.0,462.0,474.0,458.0,460.0,4242600,BELI.JK,0.004347826086956497,462.3,462.3,473.7817933680833,450.8182066319167,445.0773099478751,1,,0.004347826086956497,1.0087336244541483,False,False,,,,None
37843,2023-01-24,466.0,466.0,470.0,458.0,460.0,13137400,BELI.JK,0.008658008658008587,462.2,462.2,473.50626281966595,450.893737180334,445.240605770501,0,,0.008658008658008587,1.0174672489082968,False,True,,,,None
37844,2023-01-25,466.0,466.0,468.0,460.0,464.0,5572500,BELI.JK,0.0,462.1,462.1,473.2241794493367,450.97582055066334,445.413730825995,0,,0.0,1.0174672489082968,False,False,,,,None
37845,2023-01-26,464.0,464.0,468.0,462.0,466.0,1071200,BELI.JK,-0.0042918454935622075,461.9,461.9,472.71714039456737,451.0828596054326,445.67428940814887,0,,-0.0,1.0174672489082968,False,False,,,,None
37846,2023-01-27,464.0,464.0,470.0,462.0,466.0,4339600,BELI.JK,0.0,461.5,461.5,471.2872096985914,451.7127903014086,446.8191854521129,0,,0.0,1.0174672489082968,False,False,,,,None
37847,2023-01-30,464.0,464.0,470.0,462.0,464.0,1412100,BELI.JK,0.0,461.2,461.2,470.2286094983489,452.1713905016511,447.6570857524767,0,,0.0,1.0174672489082968,False,False,,,,None
37848,2023-01-31,460.0,460.0,464.0,458.0,464.0,7487600,BELI.JK,-0.008620689655172376,460.7,460.7,468.72889518518747,452.6711048148125,448.65665722221877,0,,-0.0,1.0174672489082968,False,False,,,,None
37849,2023-02-01,464.0,464.0,464.0,460.0,462.0,2359200,BELI.JK,0.008695652173912993,460.5,460.5,467.94099597181867,453.05900402818133,449.338506042272,0,,0.0,1.0174672489082968,False,False,,,,None
37850,2023-02-02,474.0,474.0,478.0,462.0,464.0,16560300,BELI.JK,0.02155172413793105,460.9,460.9,470.2110008507193,451.58899914928065,446.933498723921,0,,0.0,1.0174672489082968,False,False,,,,None
