,Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Return,SMA20,MiddleBand,UpperBand,LowerBand,LowerBand_2,Signal,Decision,Strategy Return,Equity Curve,Buy,Sell,Trx Return,Sell Date,Sell Close,Win Loss
32261,2022-01-28,4738.2685546875,4840.0,4840.0,4840.0,4840.0,100,MASA.JK,0.0,4857.25,,,,,0,,,,False,False,,,,None
32262,2022-01-31,4738.2685546875,4840.0,4850.0,4840.0,4850.0,800,MASA.JK,0.0,4825.5,,,,,0,,0.0,1.0,False,False,,,,None
32263,2022-02-02,4611.00146484375,4710.0,4800.0,4710.0,4800.0,2800,MASA.JK,-0.02685950413223137,4806.0,,,,,0,,-0.0,1.0,False,False,,,,None
32264,2022-02-03,4581.63134765625,4680.0,4710.0,4610.0,4610.0,3300,MASA.JK,-0.006369426751592355,4790.5,,,,,0,,-0.0,1.0,False,False,,,,None
32265,2022-02-04,4836.1669921875,4940.0,4950.0,4610.0,4680.0,10200,MASA.JK,0.05555555555555558,4787.5,,,,,0,,0.0,1.0,False,False,,,,None
32266,2022-02-07,4797.0078125,4900.0,4940.0,4900.0,4940.0,500,MASA.JK,-0.0080971659919028,4780.0,,,,,0,,-0.0,1.0,False,False,,,,None
32267,2022-02-08,4797.0078125,4900.0,4900.0,4900.0,4900.0,100,MASA.JK,0.0,4790.0,,,,,0,,0.0,1.0,False,False,,,,None
32268,2022-02-09,4797.0078125,4900.0,4900.0,4850.0,4880.0,1400,MASA.JK,0.0,4795.0,,,,,0,,0.0,1.0,False,False,,,,None
32269,2022-02-10,4797.0078125,4900.0,4900.0,4900.0,4900.0,400,MASA.JK,0.0,4797.0,,,,,0,,0.0,1.0,False,False,,,,None
32270,2022-02-11,4699.10986328125,4800.0,4900.0,4680.0,4900.0,1700,MASA.JK,-0.020408163265306145,4808.5,,,,,0,,-0.0,1.0,False,False,,,,None
32271,2022-02-14,4659.9501953125,4760.0,4760.0,4760.0,4760.0,5000,MASA.JK,-0.008333333333333304,4819.0,,,,,0,,-0.0,1.0,False,False,,,,None
32272,2022-02-15,4650.16015625,4750.0,4760.0,4550.0,4760.0,6600,MASA.JK,-0.0021008403361344463,4825.5,,,,,0,,-0.0,1.0,False,False,,,,None
32273,2022-02-16,4816.5869140625,4920.0,4920.0,4740.0,4750.0,3700,MASA.JK,0.03578947368421059,4839.0,,,,,0,,0.0,1.0,False,False,,,,None
32274,2022-02-17,4816.5869140625,4920.0,4920.0,4920.0,4920.0,100,MASA.JK,0.0,4848.5,,,,,0,,0.0,1.0,False,False,,,,None
32275,2022-02-18,4816.5869140625,4920.0,4920.0,4850.0,4850.0,1000,MASA.JK,0.0,4850.0,,,,,0,,0.0,1.0,False,False,,,,None
32276,2022-02-21,4816.5869140625,4920.0,4920.0,4920.0,4920.0,0,MASA.JK,0.0,4851.5,,,,,0,,0.0,1.0,False,False,,,,None
32277,2022-02-22,4699.10986328125,4800.0,4820.0,4650.0,4820.0,6700,MASA.JK,-0.024390243902439046,4848.0,,,,,0,,-0.0,1.0,False,False,,,,None
32278,2022-02-23,4816.5869140625,4920.0,4920.0,4700.0,4770.0,600,MASA.JK,0.02499999999999991,4851.0,,,,,0,,0.0,1.0,False,False,,,,None
32279,2022-02-24,4797.0078125,4900.0,4920.0,4900.0,4920.0,1700,MASA.JK,-0.004065040650406471,4853.0,,,,,0,,-0.0,1.0,False,False,,,,None
32280,2022-02-25,4669.73974609375,4770.0,4800.0,4770.0,4800.0,800,MASA.JK,-0.026530612244897944,4849.5,4849.5,5010.611272433878,4688.388727566122,4607.833091349184,0,,-0.0,1.0,False,False,,,,None
32281,2022-03-01,4659.9501953125,4760.0,4760.0,4600.0,4720.0,4900,MASA.JK,-0.002096436058700246,4845.5,4845.5,5011.502536442258,4679.497463557742,4596.496195336613,0,,-0.0,1.0,False,False,,,,None
32282,2022-03-02,4581.63134765625,4680.0,4760.0,4430.0,4760.0,16800,MASA.JK,-0.01680672268907568,4837.5,4837.5,5019.289351781265,4655.710648218735,4564.815972328101,0,,-0.0,1.0,False,False,,,,None
