,Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Return,SMA20,MiddleBand,UpperBand,LowerBand,LowerBand_2,Signal,Decision,Strategy Return,Equity Curve,Buy,Sell,Trx Return,Sell Date,Sell Close,Win Loss
38494,2022-01-28,718.2288208007812,790.0,800.0,790.0,790.0,6566300,MTEL.JK,0.0,799.75,,,,,0,,,,False,False,,,,None
38495,2022-01-31,718.2288208007812,790.0,795.0,785.0,790.0,9362000,MTEL.JK,0.0,798.25,,,,,0,,0.0,1.0,False,False,,,,None
38496,2022-02-02,718.2288208007812,790.0,800.0,790.0,790.0,27749800,MTEL.JK,0.0,796.75,,,,,0,,0.0,1.0,False,False,,,,None
38497,2022-02-03,718.2288208007812,790.0,795.0,780.0,790.0,16421100,MTEL.JK,0.0,795.25,,,,,0,,0.0,1.0,False,False,,,,None
38498,2022-02-04,718.2288208007812,790.0,800.0,785.0,790.0,22555600,MTEL.JK,0.0,794.0,,,,,0,,0.0,1.0,False,False,,,,None
38499,2022-02-07,709.1373291015625,780.0,795.0,780.0,790.0,23207600,MTEL.JK,-0.012658227848101222,792.25,,,,,0,,-0.0,1.0,False,False,,,,None
38500,2022-02-08,709.1373291015625,780.0,795.0,780.0,780.0,23446800,MTEL.JK,0.0,790.75,,,,,0,,0.0,1.0,False,False,,,,None
38501,2022-02-09,713.68310546875,785.0,790.0,780.0,785.0,20991600,MTEL.JK,0.0064102564102563875,790.0,,,,,0,,0.0,1.0,False,False,,,,None
38502,2022-02-10,709.1373291015625,780.0,795.0,780.0,785.0,53019600,MTEL.JK,-0.006369426751592355,789.25,,,,,0,,-0.0,1.0,False,False,,,,None
38503,2022-02-11,713.68310546875,785.0,790.0,780.0,780.0,26370700,MTEL.JK,0.0064102564102563875,788.5,,,,,0,,0.0,1.0,False,False,,,,None
38504,2022-02-14,709.1373291015625,780.0,790.0,775.0,790.0,17537000,MTEL.JK,-0.006369426751592355,787.5,,,,,0,,-0.0,1.0,False,False,,,,None
38505,2022-02-15,709.1373291015625,780.0,785.0,775.0,780.0,31375800,MTEL.JK,0.0,786.75,,,,,0,,0.0,1.0,False,False,,,,None
38506,2022-02-16,704.5916137695312,775.0,780.0,775.0,780.0,28089400,MTEL.JK,-0.0064102564102563875,786.0,,,,,0,,-0.0,1.0,False,False,,,,None
38507,2022-02-17,695.5001220703125,765.0,780.0,765.0,775.0,30287900,MTEL.JK,-0.012903225806451646,785.0,,,,,0,,-0.0,1.0,False,False,,,,None
38508,2022-02-18,700.0458984375,770.0,770.0,760.0,765.0,31460200,MTEL.JK,0.006535947712418277,784.25,,,,,0,,0.0,1.0,False,False,,,,None
38509,2022-02-21,690.9544067382812,760.0,775.0,760.0,770.0,28349100,MTEL.JK,-0.012987012987012991,782.5,,,,,0,,-0.0,1.0,False,False,,,,None
38510,2022-02-22,695.5001220703125,765.0,765.0,760.0,760.0,30823300,MTEL.JK,0.006578947368421018,782.0,,,,,0,,0.0,1.0,False,False,,,,None
38511,2022-02-23,700.0458984375,770.0,775.0,760.0,765.0,26574000,MTEL.JK,0.006535947712418277,781.0,,,,,0,,0.0,1.0,False,False,,,,None
38512,2022-02-24,695.5001220703125,765.0,775.0,760.0,770.0,44911100,MTEL.JK,-0.00649350649350644,779.0,,,,,0,,-0.0,1.0,False,False,,,,None
38513,2022-02-25,704.5916137695312,775.0,775.0,760.0,765.0,28663700,MTEL.JK,0.013071895424836555,778.25,778.25,797.790780569444,758.709219430556,748.938829145834,0,,0.0,1.0,False,False,,,,None
38514,2022-03-01,709.1373291015625,780.0,780.0,770.0,775.0,15256700,MTEL.JK,0.006451612903225712,777.75,777.75,796.5214789255572,758.9785210744428,749.5927816116643,0,,0.0,1.0,False,False,,,,None
38515,2022-03-02,709.1373291015625,780.0,790.0,770.0,790.0,22994700,MTEL.JK,0.0,777.25,777.25,795.1605966869955,759.3394033130045,750.3841049695068,0,,0.0,1.0,False,False,,,,None
38516,2022-03-04,700.0458984375,770.0,785.0,770.0,780.0,13733900,MTEL.JK,-0.012820512820512775,776.25,776.25,793.379537431921,759.120462568079,750.5556938521185,0,,-0.0,1.0,False,False,,,,None
38517,2022-03-07,704.5916137695312,775.0,790.0,760.0,790.0,36259100,MTEL.JK,0.006493506493506551,775.5,775.5,791.3612404107757,759.6387595892243,751.7081393838363,0,,0.0,1.0,False,False,,,,None
38518,2022-03-08,704.5916137695312,775.0,800.0,765.0,800.0,27207900,MTEL.JK,0.0,774.75,774.75,789.0678210632766,760.4321789367234,753.2732684050851,0,,0.0,1.0,False,False,,,,None
38519,2022-03-09,709.1373291015625,780.0,780.0,765.0,765.0,22746200,MTEL.JK,0.006451612903225712,774.75,774.75,789.0678210632766,760.4321789367234,753.2732684050851,0,,0.0,1.0,False,False,,,,None
38520,2022-03-10,713.68310546875,785.0,790.0,770.0,790.0,25720300,MTEL.JK,0.0064102564102563875,775.0,775.0,789.8678388335007,760.1321611664993,752.6982417497488,0,,0.0,1.0,False,False,,,,None
38521,2022-03-11,727.3203735351562,800.0,830.0,775.0,785.0,144760100,MTEL.JK,0.019108280254777066,775.75,775.75,793.8941595648791,757.6058404351209,748.5337606526813,0,,0.0,1.0,False,False,,,,None
38522,2022-03-14,740.9576416015625,815.0,815.0,800.0,815.0,98048300,MTEL.JK,0.018750000000000044,777.5,777.5,802.7357307257619,752.2642692742381,739.6464039113572,0,,0.0,1.0,False,False,,,,None
38523,2022-03-15,736.411865234375,810.0,825.0,805.0,825.0,79298900,MTEL.JK,-0.006134969325153339,778.75,778.75,807.7463700087478,749.7536299912522,735.2554449868782,0,,-0.0,1.0,False,False,,,,None
38524,2022-03-16,727.3203735351562,800.0,825.0,795.0,810.0,65950800,MTEL.JK,-0.012345679012345734,779.75,779.75,810.2674669570343,749.2325330429657,733.9737995644484,0,,-0.0,1.0,False,False,,,,None
38525,2022-03-17,722.7745971679688,795.0,805.0,790.0,795.0,23805400,MTEL.JK,-0.006249999999999978,780.5,780.5,811.7713085246221,749.2286914753779,733.5930372130667,0,,-0.0,1.0,False,False,,,,None
38526,2022-03-18,727.3203735351562,800.0,800.0,740.0,740.0,180883100,MTEL.JK,0.0062893081761006275,781.75,781.75,814.0764597504892,749.4235402495108,733.2603103742662,0,,0.0,1.0,False,False,,,,None
38527,2022-03-21,713.68310546875,785.0,800.0,760.0,760.0,43860400,MTEL.JK,-0.018750000000000044,782.75,782.75,814.1179353547703,751.3820646452297,735.6980969678444,0,,-0.0,1.0,False,False,,,,None
38528,2022-03-22,722.7745971679688,795.0,800.0,770.0,795.0,93422100,MTEL.JK,0.01273885350318471,784.0,784.0,815.2207758088306,752.7792241911694,737.1688362867542,0,,0.0,1.0,False,False,,,,None
38529,2022-03-23,722.7745971679688,795.0,800.0,785.0,800.0,23429100,MTEL.JK,0.0,785.75,785.75,815.1787721724666,756.3212278275334,741.6068417413002,0,,0.0,1.0,False,False,,,,None
38530,2022-03-24,690.9544067382812,760.0,795.0,755.0,795.0,201389800,MTEL.JK,-0.04402515723270439,785.5,785.5,815.7446167458816,755.2553832541184,740.1330748811777,0,,-0.0,1.0,False,False,,,,None
38531,2022-03-25,690.9544067382812,760.0,770.0,760.0,765.0,52985600,MTEL.JK,0.0,785.0,785.0,816.6227766016838,753.3772233983162,737.5658350974744,0,,0.0,1.0,False,False,,,,None
38532,2022-03-28,700.0458984375,770.0,775.0,755.0,765.0,50720900,MTEL.JK,0.013157894736842035,785.25,785.25,816.2805452230879,754.2194547769121,738.7041821653683,0,,0.0,1.0,False,False,,,,None
38533,2022-03-29,695.5001220703125,765.0,775.0,765.0,775.0,30780900,MTEL.JK,-0.00649350649350644,784.75,784.75,816.7820563120594,752.7179436879406,736.7019155319109,0,,-0.0,1.0,False,False,,,,None
38534,2022-03-30,700.0458984375,770.0,770.0,765.0,765.0,40475400,MTEL.JK,0.006535947712418277,784.25,784.25,816.9004614298013,751.5995385701987,735.274307855298,0,,0.0,1.0,False,False,,,,None
38535,2022-03-31,700.0458984375,770.0,775.0,765.0,770.0,12431300,MTEL.JK,0.0,783.75,783.75,816.9757034300412,750.5242965699588,733.9114448549383,0,,0.0,1.0,False,False,,,,None
38536,2022-04-01,690.9544067382812,760.0,770.0,760.0,765.0,46173300,MTEL.JK,-0.012987012987012991,783.25,783.25,817.6279304970959,748.8720695029041,731.6831042543562,0,,-0.0,1.0,False,False,,,,None
