,Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Return,SMA20,LowerBand,Signal,Strategy Return,Equity Curve,Buy,Sell,Trx Return,Sell Date,Sell Close,Win Loss
4057,2022-01-28,3253.4677734375,4140.0,4170.0,4090.0,4170.0,84812100,BBRI.JK,0.0,4157.5,4074.35,0,,,False,False,,,,None
4058,2022-01-31,3198.45751953125,4070.0,4170.0,4070.0,4170.0,78498500,BBRI.JK,-0.016908212560386437,4152.0,4068.96,0,-0.0,1.0,False,False,,,,None
4059,2022-02-02,3198.45751953125,4070.0,4120.0,4060.0,4120.0,81546300,BBRI.JK,0.0,4147.5,4064.5499999999997,0,0.0,1.0,False,False,,,,None
4060,2022-02-03,3245.609130859375,4130.0,4180.0,4130.0,4180.0,157898800,BBRI.JK,0.014742014742014753,4143.5,4060.63,0,0.0,1.0,False,False,,,,None
4061,2022-02-04,3308.478515625,4210.0,4210.0,4150.0,4170.0,236602900,BBRI.JK,0.01937046004842613,4146.0,4063.08,0,0.0,1.0,False,False,,,,None
4062,2022-02-07,3457.7919921875,4400.0,4410.0,4220.0,4240.0,468016600,BBRI.JK,0.0451306413301662,4156.5,4073.37,0,0.0,1.0,False,False,,,,None
4063,2022-02-08,3489.226318359375,4440.0,4550.0,4400.0,4450.0,310878100,BBRI.JK,0.009090909090909038,4169.5,4086.11,0,0.0,1.0,False,False,,,,None
4064,2022-02-09,3497.085205078125,4450.0,4500.0,4380.0,4400.0,149000100,BBRI.JK,0.0022522522522523403,4184.5,4100.8099999999995,0,0.0,1.0,False,False,,,,None
4065,2022-02-10,3512.80224609375,4470.0,4500.0,4450.0,4500.0,112521600,BBRI.JK,0.004494382022471877,4200.0,4116.0,0,0.0,1.0,False,False,,,,None
4066,2022-02-11,3497.085205078125,4450.0,4450.0,4380.0,4420.0,103418200,BBRI.JK,-0.004474272930648726,4213.0,4128.74,0,-0.0,1.0,False,False,,,,None
4067,2022-02-14,3465.650634765625,4410.0,4450.0,4380.0,4450.0,105260000,BBRI.JK,-0.008988764044943864,4224.5,4140.01,0,-0.0,1.0,False,False,,,,None
4068,2022-02-15,3481.36767578125,4430.0,4450.0,4390.0,4440.0,96658500,BBRI.JK,0.0045351473922903285,4235.5,4150.79,0,0.0,1.0,False,False,,,,None
4069,2022-02-16,3473.50927734375,4420.0,4470.0,4410.0,4470.0,89636300,BBRI.JK,-0.0022573363431150906,4247.0,4162.0599999999995,0,-0.0,1.0,False,False,,,,None
4070,2022-02-17,3457.7919921875,4400.0,4410.0,4340.0,4390.0,118305100,BBRI.JK,-0.004524886877828038,4260.5,4175.29,0,-0.0,1.0,False,False,,,,None
4071,2022-02-18,3481.36767578125,4430.0,4440.0,4370.0,4400.0,127058000,BBRI.JK,0.006818181818181834,4275.5,4189.99,0,0.0,1.0,False,False,,,,None
4072,2022-02-21,3528.519287109375,4490.0,4490.0,4440.0,4460.0,133717300,BBRI.JK,0.013544018058690765,4291.5,4205.67,0,0.0,1.0,False,False,,,,None
4073,2022-02-22,3481.36767578125,4430.0,4470.0,4420.0,4440.0,109060900,BBRI.JK,-0.013363028953229383,4307.0,4220.86,0,-0.0,1.0,False,False,,,,None
4074,2022-02-23,3520.660888671875,4480.0,4520.0,4460.0,4520.0,160827800,BBRI.JK,0.011286681715575675,4327.5,4240.95,0,0.0,1.0,False,False,,,,None
4075,2022-02-24,3449.933349609375,4390.0,4470.0,4370.0,4470.0,217523600,BBRI.JK,-0.0200892857142857,4342.5,4255.65,0,-0.0,1.0,False,False,,,,None
4076,2022-02-25,3575.671142578125,4550.0,4550.0,4410.0,4450.0,301346400,BBRI.JK,0.036446469248291535,4363.0,4275.74,0,0.0,1.0,False,False,,,,None
4077,2022-03-01,3638.5400390625,4630.0,4860.0,4630.0,4850.0,494657800,BBRI.JK,0.01758241758241752,4387.5,4299.75,0,0.0,1.0,False,False,,,,None
4078,2022-03-02,3583.530029296875,4560.0,4690.0,4550.0,4680.0,186635200,BBRI.JK,-0.015118790496760237,4412.0,4323.76,0,-0.0,1.0,False,False,,,,None
4079,2022-03-04,3669.974609375,4670.0,4730.0,4610.0,4720.0,292022600,BBRI.JK,0.02412280701754388,4442.0,4353.16,0,0.0,1.0,False,False,,,,None
4080,2022-03-07,3552.09521484375,4520.0,4630.0,4520.0,4580.0,224515800,BBRI.JK,-0.032119914346895095,4461.5,4372.2699999999995,0,-0.0,1.0,False,False,,,,None
4081,2022-03-08,3481.36767578125,4430.0,4560.0,4430.0,4500.0,214870200,BBRI.JK,-0.019911504424778736,4472.5,4383.05,0,-0.0,1.0,False,False,,,,None
4082,2022-03-09,3591.38818359375,4570.0,4590.0,4500.0,4530.0,191967100,BBRI.JK,0.03160270880361171,4481.0,4391.38,0,0.0,1.0,False,False,,,,None
4083,2022-03-10,3591.38818359375,4570.0,4640.0,4510.0,4640.0,225575800,BBRI.JK,0.0,4487.5,4397.75,0,0.0,1.0,False,False,,,,None
4084,2022-03-11,3594.862060546875,4400.0,4440.0,4370.0,4400.0,275965300,BBRI.JK,-0.03719912472647702,4485.0,4395.3,0,-0.0,1.0,False,False,,,,None
4085,2022-03-14,3692.903564453125,4520.0,4540.0,4410.0,4440.0,212052100,BBRI.JK,0.027272727272727337,4487.5,4397.75,0,0.0,1.0,False,False,,,,None
4086,2022-03-15,3766.434814453125,4610.0,4640.0,4530.0,4550.0,357755700,BBRI.JK,0.019911504424778848,4495.5,4405.59,0,0.0,1.0,False,False,,,,None
4087,2022-03-16,3799.115966796875,4650.0,4660.0,4610.0,4650.0,226817000,BBRI.JK,0.008676789587852562,4507.5,4417.35,0,0.0,1.0,False,False,,,,None
4088,2022-03-17,3799.115966796875,4650.0,4700.0,4610.0,4690.0,224068000,BBRI.JK,0.0,4518.5,4428.13,0,0.0,1.0,False,False,,,,None
4089,2022-03-18,3741.9248046875,4580.0,4700.0,4580.0,4700.0,257863400,BBRI.JK,-0.01505376344086018,4526.5,4435.97,0,-0.0,1.0,False,False,,,,None
4090,2022-03-21,3750.0947265625,4590.0,4630.0,4560.0,4600.0,118791900,BBRI.JK,0.0021834061135370675,4536.0,4445.28,0,0.0,1.0,False,False,,,,None
4091,2022-03-22,3790.945556640625,4640.0,4710.0,4640.0,4690.0,177758500,BBRI.JK,0.01089324618736387,4546.5,4455.57,0,0.0,1.0,False,False,,,,None
4092,2022-03-23,3799.115966796875,4650.0,4690.0,4620.0,4680.0,146545100,BBRI.JK,0.0021551724137931494,4554.5,4463.41,0,0.0,1.0,False,False,,,,None
4093,2022-03-24,3864.476806640625,4730.0,4730.0,4620.0,4640.0,206271600,BBRI.JK,0.017204301075268713,4569.5,4478.11,0,0.0,1.0,False,False,,,,None
4094,2022-03-25,3848.13671875,4710.0,4760.0,4650.0,4760.0,137104800,BBRI.JK,-0.0042283298097252064,4581.0,4489.38,0,-0.0,1.0,False,False,,,,None
4095,2022-03-28,3864.476806640625,4730.0,4740.0,4670.0,4730.0,106801800,BBRI.JK,0.00424628450106157,4598.0,4506.04,0,0.0,1.0,False,False,,,,None
4096,2022-03-29,3831.7958984375,4690.0,4750.0,4670.0,4750.0,93155100,BBRI.JK,-0.008456659619450302,4605.0,4512.9,0,-0.0,1.0,False,False,,,,None
4097,2022-03-30,3848.13671875,4710.0,4740.0,4690.0,4740.0,83364400,BBRI.JK,0.004264392324093924,4609.0,4516.82,0,0.0,1.0,False,False,,,,None
4098,2022-03-31,3807.28515625,4660.0,4750.0,4660.0,4700.0,158650000,BBRI.JK,-0.010615711252653925,4614.0,4521.72,0,-0.0,1.0,False,False,,,,None
4099,2022-04-01,3864.476806640625,4730.0,4730.0,4630.0,4690.0,145105000,BBRI.JK,0.015021459227467782,4617.0,4524.66,0,0.0,1.0,False,False,,,,None
4100,2022-04-04,3839.96630859375,4700.0,4730.0,4660.0,4730.0,103902000,BBRI.JK,-0.006342494714587699,4626.0,4533.48,0,-0.0,1.0,False,False,,,,None
