,Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Return,SMA20,LowerBand,Signal,Strategy Return,Equity Curve,Buy,Sell,Trx Return,Sell Date,Sell Close,Win Loss
22210,2022-01-28,6055.302734375,6475.0,6475.0,6400.0,6425.0,2348500,CPIN.JK,0.0077821011673151474,6247.5,6122.55,0,,,False,False,,,,None
22211,2022-01-31,5891.64599609375,6300.0,6475.0,6250.0,6475.0,2353700,CPIN.JK,-0.027027027027026973,6265.0,6139.7,0,-0.0,1.0,False,False,,,,None
22212,2022-02-02,5727.98876953125,6125.0,6250.0,6075.0,6200.0,5802700,CPIN.JK,-0.02777777777777779,6271.25,6145.825,1,-0.0,1.0,True,False,-0.05714285714285694,2022-03-11,5775.0,Loss
22213,2022-02-03,5587.7119140625,5975.0,6125.0,5950.0,6125.0,6459000,CPIN.JK,-0.024489795918367308,6268.75,6143.375,1,-0.024489795918367308,0.9755102040816327,False,False,,,,None
22214,2022-02-04,5587.7119140625,5975.0,6075.0,5950.0,6000.0,3724200,CPIN.JK,0.0,6262.5,6137.25,1,0.0,0.9755102040816327,False,False,,,,None
22215,2022-02-07,5681.22998046875,6075.0,6075.0,5975.0,6000.0,5111200,CPIN.JK,0.01673640167364021,6258.75,6133.575,1,0.01673640167364021,0.9918367346938777,False,False,,,,None
22216,2022-02-08,5517.5732421875,5900.0,6125.0,5900.0,6100.0,6946000,CPIN.JK,-0.028806584362139898,6250.0,6125.0,1,-0.028806584362139898,0.9632653061224491,False,False,,,,None
22217,2022-02-09,5494.193359375,5875.0,5975.0,5850.0,5925.0,9900500,CPIN.JK,-0.004237288135593209,6240.0,6115.2,1,-0.004237288135593209,0.9591836734693879,False,False,,,,None
22218,2022-02-10,5470.81396484375,5850.0,5950.0,5850.0,5875.0,5168400,CPIN.JK,-0.004255319148936176,6225.0,6100.5,1,-0.004255319148936176,0.9551020408163267,False,False,,,,None
22219,2022-02-11,5470.81396484375,5850.0,5900.0,5775.0,5850.0,8102400,CPIN.JK,0.0,6210.0,6085.8,1,0.0,0.9551020408163267,False,False,,,,None
22220,2022-02-14,5424.0546875,5800.0,5850.0,5750.0,5850.0,6525600,CPIN.JK,-0.008547008547008517,6191.25,6067.425,1,-0.008547008547008517,0.9469387755102042,False,False,,,,None
22221,2022-02-15,5470.81396484375,5850.0,5875.0,5800.0,5800.0,6722400,CPIN.JK,0.008620689655172376,6176.25,6052.724999999999,1,0.008620689655172376,0.9551020408163267,False,False,,,,None
22222,2022-02-16,5424.0546875,5800.0,5900.0,5800.0,5900.0,5431700,CPIN.JK,-0.008547008547008517,6156.25,6033.125,1,-0.008547008547008517,0.9469387755102042,False,False,,,,None
22223,2022-02-17,5400.67529296875,5775.0,5850.0,5775.0,5800.0,3536000,CPIN.JK,-0.004310344827586188,6125.0,6002.5,1,-0.004310344827586188,0.9428571428571431,False,False,,,,None
22224,2022-02-18,5447.4345703125,5825.0,5850.0,5750.0,5775.0,5351500,CPIN.JK,0.008658008658008587,6096.25,5974.325,1,0.008658008658008587,0.9510204081632655,False,False,,,,None
22225,2022-02-21,5377.2958984375,5750.0,5850.0,5750.0,5800.0,7204900,CPIN.JK,-0.012875536480686733,6057.5,5936.349999999999,1,-0.012875536480686733,0.9387755102040818,False,False,,,,None
22226,2022-02-22,5611.09130859375,6000.0,6000.0,5750.0,5775.0,12436300,CPIN.JK,0.04347826086956519,6031.25,5910.625,1,0.04347826086956519,0.979591836734694,False,False,,,,None
22227,2022-02-23,5611.09130859375,6000.0,6000.0,5875.0,5950.0,9878700,CPIN.JK,0.0,6006.25,5886.125,1,0.0,0.979591836734694,False,False,,,,None
22228,2022-02-24,5447.4345703125,5825.0,6000.0,5750.0,6000.0,10848900,CPIN.JK,-0.029166666666666674,5972.5,5853.05,1,-0.029166666666666674,0.9510204081632654,False,False,,,,None
22229,2022-02-25,5424.0546875,5800.0,5975.0,5800.0,5825.0,13852700,CPIN.JK,-0.0042918454935622075,5941.25,5822.425,1,-0.0042918454935622075,0.9469387755102042,False,False,,,,None
22230,2022-03-01,5353.91650390625,5725.0,5850.0,5650.0,5800.0,15520700,CPIN.JK,-0.012931034482758674,5903.75,5785.675,1,-0.012931034482758674,0.9346938775510205,False,False,,,,None
22231,2022-03-02,5330.53662109375,5700.0,5900.0,5700.0,5725.0,14308300,CPIN.JK,-0.004366812227074246,5873.75,5756.275,1,-0.004366812227074246,0.9306122448979592,False,False,,,,None
22232,2022-03-04,5330.53662109375,5700.0,5800.0,5675.0,5700.0,6784300,CPIN.JK,0.0,5852.5,5735.45,1,0.0,0.9306122448979592,False,False,,,,None
