,Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Return,SMA20,MiddleBand,UpperBand,LowerBand,Signal,Strategy Return,Equity Curve,Buy,Sell,Trx Return,Sell Date,Sell Close,Win Loss
34048,2022-01-28,4089.994873046875,6900.0,7050.0,6825.0,6850.0,19100,GEMS.JK,0.007299270072992803,7161.25,,,,0,,,False,False,,,,None
34049,2022-01-31,4104.8134765625,6925.0,7150.0,6825.0,6900.0,19000,GEMS.JK,0.0036231884057971175,7100.0,,,,0,0.0,1.0,False,False,,,,None
34050,2022-02-02,4089.994873046875,6900.0,6975.0,6825.0,6925.0,18100,GEMS.JK,-0.0036101083032491488,7037.5,,,,0,-0.0,1.0,False,False,,,,None
34051,2022-02-03,4030.718994140625,6800.0,6900.0,6650.0,6900.0,18300,GEMS.JK,-0.01449275362318836,6970.0,,,,0,-0.0,1.0,False,False,,,,None
34052,2022-02-04,3971.444580078125,6700.0,6800.0,6675.0,6800.0,9100,GEMS.JK,-0.014705882352941124,6907.5,,,,0,-0.0,1.0,False,False,,,,None
34053,2022-02-07,3941.80615234375,6650.0,6850.0,6575.0,6725.0,21700,GEMS.JK,-0.007462686567164201,6863.75,,,,0,-0.0,1.0,False,False,,,,None
34054,2022-02-08,3926.98828125,6625.0,6775.0,6500.0,6525.0,29200,GEMS.JK,-0.003759398496240629,6845.0,,,,0,-0.0,1.0,False,False,,,,None
34055,2022-02-09,3926.98828125,6625.0,6775.0,6625.0,6775.0,26000,GEMS.JK,0.0,6850.0,,,,0,0.0,1.0,False,False,,,,None
34056,2022-02-10,3941.80615234375,6650.0,6750.0,6600.0,6625.0,12000,GEMS.JK,0.0037735849056603765,6851.25,,,,0,0.0,1.0,False,False,,,,None
34057,2022-02-11,3912.169189453125,6600.0,6750.0,6600.0,6700.0,11800,GEMS.JK,-0.007518796992481258,6835.0,,,,0,-0.0,1.0,False,False,,,,None
34058,2022-02-14,4030.718994140625,6800.0,6800.0,6625.0,6725.0,18300,GEMS.JK,0.030303030303030276,6826.25,,,,0,0.0,1.0,False,False,,,,None
34059,2022-02-15,4001.081787109375,6750.0,6800.0,6675.0,6800.0,8800,GEMS.JK,-0.007352941176470562,6816.25,,,,0,-0.0,1.0,False,False,,,,None
34060,2022-02-16,3971.444580078125,6700.0,6750.0,6650.0,6750.0,10800,GEMS.JK,-0.007407407407407418,6815.0,,,,0,-0.0,1.0,False,False,,,,None
34061,2022-02-17,3941.80615234375,6650.0,6700.0,6625.0,6650.0,7600,GEMS.JK,-0.007462686567164201,6828.75,,,,0,-0.0,1.0,False,False,,,,None
34062,2022-02-18,3897.35009765625,6575.0,6650.0,6575.0,6650.0,21100,GEMS.JK,-0.011278195488721776,6828.75,,,,0,-0.0,1.0,False,False,,,,None
34063,2022-02-21,3882.531494140625,6550.0,6675.0,6550.0,6575.0,14500,GEMS.JK,-0.0038022813688213253,6762.5,,,,0,-0.0,1.0,False,False,,,,None
34064,2022-02-22,3912.169189453125,6600.0,6675.0,6550.0,6550.0,6900,GEMS.JK,0.007633587786259444,6726.25,,,,0,0.0,1.0,False,False,,,,None
34065,2022-02-23,3926.98828125,6625.0,6675.0,6600.0,6625.0,9700,GEMS.JK,0.0037878787878788955,6715.0,,,,0,0.0,1.0,False,False,,,,None
34066,2022-02-24,3941.80615234375,6650.0,6700.0,6500.0,6675.0,36000,GEMS.JK,0.0037735849056603765,6706.25,,,,0,0.0,1.0,False,False,,,,None
34067,2022-02-25,3675.06787109375,6200.0,6700.0,6200.0,6650.0,169600,GEMS.JK,-0.06766917293233088,6673.75,6673.75,6989.759243702242,6357.740756297758,1,-0.0,1.0,True,False,-0.22258064516129028,2022-03-30,4820.0,Loss
34068,2022-03-01,3423.148193359375,5775.0,6300.0,5775.0,6200.0,100300,GEMS.JK,-0.06854838709677424,6617.5,6617.5,7113.298133794072,6121.701866205928,1,-0.06854838709677424,0.9314516129032258,False,False,,,,None
34069,2022-03-02,3186.047119140625,5375.0,6050.0,5375.0,5775.0,185900,GEMS.JK,-0.06926406926406925,6540.0,6540.0,7265.004537190885,5814.995462809115,1,-0.06926406926406925,0.8669354838709677,False,False,,,,None
34070,2022-03-04,3082.3154296875,5200.0,5700.0,5000.0,5375.0,408900,GEMS.JK,-0.032558139534883734,6455.0,6455.0,7374.753971679956,5535.246028320044,1,-0.032558139534883734,0.8387096774193549,False,False,,,,None
34071,2022-03-07,2928.198974609375,4940.0,5525.0,4850.0,5200.0,339600,GEMS.JK,-0.050000000000000044,6362.0,6362.0,7487.91202797414,5236.08797202586,1,-0.050000000000000044,0.7967741935483871,False,False,,,,None
34072,2022-03-08,2768.156005859375,4670.0,5075.0,4600.0,4950.0,607800,GEMS.JK,-0.054655870445344146,6260.5,6260.5,7603.242284321628,4917.757715678372,1,-0.054655870445344146,0.7532258064516129,False,False,,,,None
34073,2022-03-09,2578.475341796875,4350.0,4980.0,4350.0,4700.0,800800,GEMS.JK,-0.06852248394004279,6145.5,6145.5,7721.49392197599,4569.50607802401,1,-0.06852248394004279,0.7016129032258064,False,False,,,,None
34074,2022-03-10,2637.75,4450.0,4450.0,4060.0,4350.0,223700,GEMS.JK,0.02298850574712641,6036.75,6036.75,7766.131620543506,4307.368379456494,1,0.02298850574712641,0.7177419354838709,False,False,,,,None
34075,2022-03-11,2839.286376953125,4790.0,4830.0,4420.0,4460.0,332500,GEMS.JK,0.07640449438202257,5945.0,5945.0,7736.56503179703,4153.43496820297,1,0.07640449438202257,0.7725806451612903,False,False,,,,None
34076,2022-03-14,2916.34423828125,4920.0,5175.0,4750.0,4750.0,130800,GEMS.JK,0.02713987473903967,5858.5,5858.5,7673.644187400172,4043.355812599828,1,0.02713987473903967,0.7935483870967742,False,False,,,,None
34077,2022-03-15,2851.141357421875,4810.0,4990.0,4810.0,4920.0,56600,GEMS.JK,-0.022357723577235755,5769.0,5769.0,7606.583080828556,3931.4169191714436,1,-0.022357723577235755,0.7758064516129033,False,False,,,,None
34078,2022-03-16,2845.21435546875,4800.0,4890.0,4800.0,4810.0,48500,GEMS.JK,-0.0020790020790020236,5669.0,5669.0,7487.928545224242,3850.071454775758,1,-0.0020790020790020236,0.7741935483870969,False,False,,,,None
34079,2022-03-17,2797.7939453125,4720.0,4810.0,4620.0,4800.0,46400,GEMS.JK,-0.01666666666666672,5567.5,5567.5,7358.787393556877,3776.212606443123,1,-0.01666666666666672,0.7612903225806452,False,False,,,,None
34080,2022-03-18,2797.7939453125,4720.0,4850.0,4690.0,4730.0,36900,GEMS.JK,0.0,5468.5,5468.5,7214.536413679491,3722.4635863205094,1,0.0,0.7612903225806452,False,False,,,,None
