,Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Return,SMA20,MiddleBand,UpperBand,LowerBand,Signal,Strategy Return,Equity Curve,Buy,Sell,Trx Return,Sell Date,Sell Close,Win Loss
36021,2022-01-28,2983.346923828125,3290.0,3300.0,3200.0,3200.0,51019400,EXCL.JK,0.04113924050632911,3051.5,,,,0,,,False,False,,,,None
36022,2022-01-31,3010.55078125,3320.0,3370.0,3290.0,3290.0,20971300,EXCL.JK,0.00911854103343468,3059.5,,,,0,0.0,1.0,False,False,,,,None
36023,2022-02-02,3001.48291015625,3310.0,3350.0,3240.0,3320.0,16930200,EXCL.JK,-0.003012048192771122,3068.0,,,,0,-0.0,1.0,False,False,,,,None
36024,2022-02-03,2965.2109375,3270.0,3340.0,3210.0,3310.0,5710100,EXCL.JK,-0.012084592145015116,3077.0,,,,0,-0.0,1.0,False,False,,,,None
36025,2022-02-04,2892.667724609375,3190.0,3300.0,3180.0,3270.0,8016600,EXCL.JK,-0.024464831804281384,3088.0,,,,0,-0.0,1.0,False,False,,,,None
36026,2022-02-07,2820.124267578125,3110.0,3270.0,3110.0,3190.0,9868800,EXCL.JK,-0.025078369905956133,3092.5,,,,0,-0.0,1.0,False,False,,,,None
36027,2022-02-08,2783.8525390625,3070.0,3150.0,3060.0,3100.0,13228900,EXCL.JK,-0.012861736334405127,3096.0,,,,0,-0.0,1.0,False,False,,,,None
36028,2022-02-09,2783.8525390625,3070.0,3100.0,3050.0,3090.0,11534500,EXCL.JK,0.0,3103.0,,,,0,0.0,1.0,False,False,,,,None
36029,2022-02-10,2801.98828125,3090.0,3140.0,3050.0,3070.0,12514900,EXCL.JK,0.006514657980456029,3110.0,,,,0,0.0,1.0,False,False,,,,None
36030,2022-02-11,2792.92041015625,3080.0,3110.0,3050.0,3090.0,5340100,EXCL.JK,-0.003236245954692518,3113.0,,,,0,-0.0,1.0,False,False,,,,None
36031,2022-02-14,2702.241455078125,2980.0,3070.0,2960.0,3070.0,14164900,EXCL.JK,-0.03246753246753242,3107.5,,,,0,-0.0,1.0,False,False,,,,None
36032,2022-02-15,2702.241455078125,2980.0,3030.0,2970.0,2980.0,6084200,EXCL.JK,0.0,3104.0,,,,0,0.0,1.0,False,False,,,,None
36033,2022-02-16,2702.241455078125,2980.0,3010.0,2950.0,2990.0,9880500,EXCL.JK,0.0,3103.5,,,,0,0.0,1.0,False,False,,,,None
36034,2022-02-17,2647.833740234375,2920.0,2970.0,2910.0,2960.0,11488200,EXCL.JK,-0.020134228187919434,3097.0,,,,0,-0.0,1.0,False,False,,,,None
